summary,product,platform,whatHappen,howHappen,shouldHappen,Status,Priority,user_id,developer_id,reviewer_id
Features not working,Shopback,Desktop,The TypeError: contentWindow is null error message is listed,1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,The Learn more hyperlink from the Save to Pocket modal is focused,Done,High,36,49,21
Cursor mismatch,Amazon,Mobile Webpage,The text cursor and chars are always visible while typing a tag,1.After updating the firmware 2.Restart the application 3.Updates not applied as it should be,Features should load properly,Unassigned,Low,29,12,25
Features not working,Poems,Desktop Application,The TypeError: contentWindow is null error message is listed,1.Click on object 2.Load the pictures 3.Pictures not loading,The Learn more hyperlink from the Save to Pocket modal is focused,Work in progress,Low,10,18,19
Unable to leave reviews,Grab,Website,Save Page to Pocket) where there should be none,1.After updating the firmware 2.Restart the application 3.Updates not applied as it should be,Features should load properly,Done,Low,36,11,31
Unable to leave reviews,Yahoo,Desktop Application,Two Pocket-related context menu items appear (Save Link to Pocket,1.Login successfully 2.Unable to access,Reviews box not supposed to be whited out,Work in progress,Low,2,37,45
Pictures not loading,Interactive Brokers,Mobile Webpage,Page cannot load despite refreshing multiple times,1.Press enter and save 2.Press down arrow and observe the elements,Features should load properly,Unassigned,High,39,15,8
Unable to access,Coinhako,Desktop Webpage,The text cursor and chars are always visible while typing a tag,1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,Reviews box not supposed to be whited out,Work in progress,Low,17,18,8
Page glitching out,Facebook,Mobile,The text cursor and chars are always visible while typing a tag,1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,Should be able to access normally,Done,High,47,40,48
User is able to save Pocket to itself,Google,Website,The TypeError: contentWindow is null error message is listed,1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,Should be able to access normally,Done,Low,2,28,25
Unable to leave reviews,Interactive Brokers,Desktop,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,The text cursor and chars are partially out of the text field view,Done,High,32,23,43
User is able to save Pocket to itself,Google,Desktop Application,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,Features should load properly,Done,High,29,49,25
Unable to access,Lazada,Mobile Application,The pocket animation does not play,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,Reviews box not supposed to be whited out,Pending for review,Low,47,40,48
Features not working,Grab,Mobile Webpage,The TypeError: contentWindow is null error message is listed,1.Press enter and save 2.Press down arrow and observe the elements,Reviews box not supposed to be whited out,Unassigned,High,17,23,43
Unable to access,Coinhako,Desktop Webpage,The TypeError: contentWindow is null error message is listed,1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,Should be able to access normally,Done,Low,39,40,48
Unable to leave reviews,Grab,Desktop Webpage,Two Pocket-related context menu items appear (Save Link to Pocket,1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,The Learn more hyperlink from the Save to Pocket modal is focused,Unassigned,High,32,49,38
Not loading,Shopback,Mobile Webpage,The TypeError: contentWindow is null error message is listed,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,Features should load properly,Work in progress,High,3,37,46
Unable to leave reviews,Grab,Mobile Application,The text cursor and chars are always visible while typing a tag,1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,Features should load properly,Unassigned,Low,33,23,19
Not loading,Interactive Brokers,Website,Save Page to Pocket) where there should be none,1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,The text cursor and chars are partially out of the text field view,Pending for review,Low,33,12,21
Cursor mismatch,Netflix,Website,The TypeError: contentWindow is null error message is listed,1.Sign in to pocket 2.Save to pocket 3.Refresh again,Features should load properly,Done,High,33,1,6
Unable to access,Binance,Desktop,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Press enter and save 2.Press down arrow and observe the elements,Should be able to access normally,Pending for review,High,47,50,22
Cursor mismatch,Grab,Mobile Application,The pocket animation does not play,1.Click on object 2.Load the pictures 3.Pictures not loading,Features should load properly,Pending for review,Low,32,11,38
User is able to save Pocket to itself,Netflix,Website,The text cursor and chars are always visible while typing a tag,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,The text cursor and chars are partially out of the text field view,Done,High,36,28,22
User is able to save Pocket to itself,Grab,Desktop,The TypeError: contentWindow is null error message is listed,1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,Should be able to access normally,Unassigned,Low,2,37,48
Text not displayed properly,Shopee,Desktop,The pocket animation does not play,1.Click on object 2.Load the pictures 3.Pictures not loading,Should be able to access normally,Work in progress,Low,10,26,42
Page glitching out,Google,Mobile,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,Reviews box not supposed to be whited out,Unassigned,High,10,23,46
Not loading,Yahoo,Website,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Click on object 2.Load the pictures 3.Pictures not loading,Should be able to access normally,Pending for review,High,39,12,31
Unable to leave reviews,Binance,Desktop Webpage,The pocket animation does not play,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,Should be able to access normally,Work in progress,High,32,18,19
Cursor mismatch,Yahoo,Mobile Application,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Click on object 2.Load the pictures 3.Pictures not loading,The Learn more hyperlink from the Save to Pocket modal is focused,Work in progress,Low,16,26,38
Not loading,Shopee,Desktop Webpage,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Press enter and save 2.Press down arrow and observe the elements,Reviews box not supposed to be whited out,Pending for review,Low,2,18,45
Cursor mismatch,Amazon,Mobile Webpage,Page cannot load despite refreshing multiple times,1.Click on object 2.Load the pictures 3.Pictures not loading,Features should load properly,Unassigned,High,17,50,22
Features not working,Netflix,Desktop,Save Page to Pocket) where there should be none,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,The Learn more hyperlink from the Save to Pocket modal is focused,Work in progress,High,10,18,22
Cursor mismatch,Shopback,Mobile Application,The TypeError: contentWindow is null error message is listed,1.Press enter and save 2.Press down arrow and observe the elements,Features should load properly,Done,High,33,1,25
Pictures not loading,Google,Website,The TypeError: contentWindow is null error message is listed,1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,Features should load properly,Unassigned,High,2,11,6
Page glitching out,Grab,Mobile Webpage,The TypeError: contentWindow is null error message is listed,1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,Reviews box not supposed to be whited out,Work in progress,Low,39,28,6
User is able to save Pocket to itself,Netflix,Mobile Webpage,Two Pocket-related context menu items appear (Save Link to Pocket,1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,The text cursor and chars are partially out of the text field view,Unassigned,High,10,40,22
Not loading,Interactive Brokers,Mobile,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,The Learn more hyperlink from the Save to Pocket modal is focused,Work in progress,Low,16,49,8
Features not working,Gmail,Mobile Application,Box is not whited out but unable to type anything inside,1.Click on object 2.Load the pictures 3.Pictures not loading,The Learn more hyperlink from the Save to Pocket modal is focused,Unassigned,Low,3,28,22
Text not displayed properly,Grab,Desktop Application,Two Pocket-related context menu items appear (Save Link to Pocket,1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,Should be able to access normally,Work in progress,High,32,9,42
Pictures not loading,Google,Website,The TypeError: contentWindow is null error message is listed,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,Should be able to access normally,Unassigned,Low,17,18,8
User is able to save Pocket to itself,Interactive Brokers,Desktop Application,The TypeError: contentWindow is null error message is listed,1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,The text cursor and chars are partially out of the text field view,Done,High,32,23,25
Unable to leave reviews,Shopee,Mobile Webpage,Box is not whited out but unable to type anything inside,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,The text cursor and chars are partially out of the text field view,Work in progress,Low,17,40,42
Pictures not loading,Yahoo,Desktop Application,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Login successfully 2.Unable to access,Should be able to access normally,Work in progress,High,29,9,45
Cursor mismatch,Google,Mobile Webpage,The TypeError: contentWindow is null error message is listed,1.After updating the firmware 2.Restart the application 3.Updates not applied as it should be,Reviews box not supposed to be whited out,Pending for review,High,10,15,46
Features not working,Google,Mobile Application,The text cursor and chars are always visible while typing a tag,1.Sign in to pocket 2.Save to pocket 3.Refresh again,Reviews box not supposed to be whited out,Pending for review,Low,32,9,21
Not loading,Grab,Desktop Application,The TypeError: contentWindow is null error message is listed,1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,Should be able to access normally,Work in progress,High,33,28,21
Features not working,Lazada,Desktop,The TypeError: contentWindow is null error message is listed,1.Login successfully 2.Unable to access,The Learn more hyperlink from the Save to Pocket modal is focused,Pending for review,Low,39,1,19
Unable to access,Binance,Website,The text cursor and chars are always visible while typing a tag,1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,The text cursor and chars are partially out of the text field view,Pending for review,Low,36,26,21
Text not displayed properly,Yahoo,Mobile Application,Page cannot load despite refreshing multiple times,1.Login successfully 2.Unable to access,Reviews box not supposed to be whited out,Pending for review,High,17,49,25
Pictures not loading,Google,Desktop Application,The pocket animation does not play,1.Login successfully 2.Unable to access,Reviews box not supposed to be whited out,Unassigned,Low,2,23,27
Features not working,Binance,Mobile Webpage,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,The Learn more hyperlink from the Save to Pocket modal is focused,Done,High,39,28,5
Unable to access,Lazada,Mobile Application,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Login successfully 2.Unable to access,The Learn more hyperlink from the Save to Pocket modal is focused,Done,Low,16,15,22
Cursor mismatch,Netflix,Desktop Webpage,The pocket animation does not play,1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,The Learn more hyperlink from the Save to Pocket modal is focused,Pending for review,High,2,18,43
Not loading,Binance,Desktop Application,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,The text cursor and chars are partially out of the text field view,Unassigned,Low,39,37,22
Unable to access,Shopee,Desktop Webpage,Save Page to Pocket) where there should be none,1.Login successfully 2.Unable to access,The text cursor and chars are partially out of the text field view,Unassigned,Low,47,49,19
Page glitching out,Google,Desktop,The text cursor and chars are always visible while typing a tag,1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,Features should load properly,Unassigned,Low,34,26,5
Cursor mismatch,Binance,Desktop Webpage,Box is not whited out but unable to type anything inside,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,Should be able to access normally,Done,High,2,40,31
Text not displayed properly,Google,Desktop,Save Page to Pocket) where there should be none,1.Click on object 2.Load the pictures 3.Pictures not loading,Reviews box not supposed to be whited out,Unassigned,Low,16,23,8
Cursor mismatch,Binance,Mobile,The text cursor and chars are always visible while typing a tag,1.Sign in to pocket 2.Save to pocket 3.Refresh again,Reviews box not supposed to be whited out,Pending for review,High,32,26,6
Not loading,Netflix,Mobile Application,Box is not whited out but unable to type anything inside,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,The Learn more hyperlink from the Save to Pocket modal is focused,Done,Low,36,12,25
Unable to leave reviews,Shopee,Desktop,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,Features should load properly,Work in progress,High,3,49,19
Unable to access,Grab,Desktop,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Click on object 2.Load the pictures 3.Pictures not loading,Reviews box not supposed to be whited out,Done,Low,33,40,46
Features not working,Poems,Desktop Application,Box is not whited out but unable to type anything inside,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,Reviews box not supposed to be whited out,Work in progress,High,34,28,31
Features not working,Interactive Brokers,Mobile Application,The TypeError: contentWindow is null error message is listed,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,The Learn more hyperlink from the Save to Pocket modal is focused,Unassigned,High,47,9,21
Unable to access,Binance,Mobile Webpage,Save Page to Pocket) where there should be none,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,The Learn more hyperlink from the Save to Pocket modal is focused,Pending for review,High,34,1,48
User is able to save Pocket to itself,Binance,Desktop Application,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,Should be able to access normally,Work in progress,High,16,49,27
Text not displayed properly,Google,Desktop Application,Save Page to Pocket) where there should be none,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,Reviews box not supposed to be whited out,Unassigned,Low,17,11,48
Pictures not loading,Interactive Brokers,Mobile Webpage,Page cannot load despite refreshing multiple times,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,Features should load properly,Work in progress,High,34,40,22
Cursor mismatch,Poems,Website,Save Page to Pocket) where there should be none,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,The Learn more hyperlink from the Save to Pocket modal is focused,Work in progress,High,16,50,21
Unable to access,Binance,Desktop,The pocket animation does not play,1.Login successfully 2.Unable to access,Features should load properly,Done,Low,3,37,14
User is able to save Pocket to itself,Grab,Website,The TypeError: contentWindow is null error message is listed,1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,Reviews box not supposed to be whited out,Work in progress,Low,32,23,46
Not loading,Facebook,Desktop,Save Page to Pocket) where there should be none,1.After updating the firmware 2.Restart the application 3.Updates not applied as it should be,Features should load properly,Unassigned,Low,16,9,22
Pictures not loading,Amazon,Mobile Webpage,The pocket animation does not play,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,Features should load properly,Pending for review,Low,16,9,25
Unable to leave reviews,Binance,Desktop,Box is not whited out but unable to type anything inside,1.Click on object 2.Load the pictures 3.Pictures not loading,Features should load properly,Pending for review,High,2,40,43
Features not working,Binance,Website,Page cannot load despite refreshing multiple times,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,Reviews box not supposed to be whited out,Pending for review,High,34,40,27
Text not displayed properly,Grab,Desktop,Box is not whited out but unable to type anything inside,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,The Learn more hyperlink from the Save to Pocket modal is focused,Unassigned,High,39,26,8
Text not displayed properly,Shopee,Mobile Application,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,Features should load properly,Done,Low,32,23,48
Not loading,Yahoo,Desktop Webpage,Two Pocket-related context menu items appear (Save Link to Pocket,1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,Should be able to access normally,Done,High,10,18,19
Features not working,Shopee,Desktop,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,Reviews box not supposed to be whited out,Unassigned,Low,33,23,8
Page glitching out,Poems,Desktop Webpage,Save Page to Pocket) where there should be none,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,The text cursor and chars are partially out of the text field view,Done,Low,17,15,42
Features not working,Amazon,Mobile Application,The pocket animation does not play,1.Click on object 2.Load the pictures 3.Pictures not loading,The Learn more hyperlink from the Save to Pocket modal is focused,Work in progress,Low,17,37,27
Not loading,Lazada,Mobile Application,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,Reviews box not supposed to be whited out,Work in progress,Low,2,26,21
Features not working,Google,Desktop Application,Save Page to Pocket) where there should be none,1.Click on object 2.Load the pictures 3.Pictures not loading,Reviews box not supposed to be whited out,Pending for review,High,3,15,31
Pictures not loading,Shopee,Mobile Application,Save Page to Pocket) where there should be none,1.Sign in to pocket 2.Save to pocket 3.Refresh again,Reviews box not supposed to be whited out,Pending for review,High,47,11,42
Cursor mismatch,Shopee,Desktop Application,Save Page to Pocket) where there should be none,1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,Reviews box not supposed to be whited out,Pending for review,Low,33,28,46
Page glitching out,Facebook,Desktop,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Sign in to pocket 2.Save to pocket 3.Refresh again,Reviews box not supposed to be whited out,Work in progress,High,16,28,48
Pictures not loading,Coinhako,Website,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Click on object 2.Load the pictures 3.Pictures not loading,The text cursor and chars are partially out of the text field view,Pending for review,Low,32,1,31
Page glitching out,Grab,Mobile Application,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,The text cursor and chars are partially out of the text field view,Unassigned,Low,29,28,27
User is able to save Pocket to itself,Binance,Desktop,Page cannot load despite refreshing multiple times,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,Features should load properly,Work in progress,High,16,40,48
Pictures not loading,Coinhako,Mobile Application,The pocket animation does not play,1.Sign in to pocket 2.Save to pocket 3.Refresh again,Features should load properly,Unassigned,High,3,18,48
Page glitching out,Facebook,Mobile Application,The TypeError: contentWindow is null error message is listed,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,The text cursor and chars are partially out of the text field view,Done,High,47,15,45
Page glitching out,Netflix,Mobile Webpage,The pocket animation does not play,1.Sign in to pocket 2.Save to pocket 3.Refresh again,Features should load properly,Done,High,47,28,45
Page glitching out,Coinhako,Desktop Application,The text cursor and chars are always visible while typing a tag,1.Sign in to pocket 2.Save to pocket 3.Refresh again,Should be able to access normally,Pending for review,Low,34,15,8
User is able to save Pocket to itself,Gmail,Website,Save Page to Pocket) where there should be none,1.After updating the firmware 2.Restart the application 3.Updates not applied as it should be,The Learn more hyperlink from the Save to Pocket modal is focused,Work in progress,High,17,11,8
Unable to leave reviews,Facebook,Mobile,The text cursor and chars are always visible while typing a tag,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,Reviews box not supposed to be whited out,Done,Low,10,28,6
User is able to save Pocket to itself,Facebook,Desktop,The TypeError: contentWindow is null error message is listed,1.Login successfully 2.Unable to access,Reviews box not supposed to be whited out,Work in progress,High,39,15,27
User is able to save Pocket to itself,Poems,Desktop Webpage,Box is not whited out but unable to type anything inside,1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,Reviews box not supposed to be whited out,Work in progress,Low,34,1,45
Text not displayed properly,Shopback,Desktop,Box is not whited out but unable to type anything inside,1.Press enter and save 2.Press down arrow and observe the elements,The Learn more hyperlink from the Save to Pocket modal is focused,Pending for review,Low,29,11,19
User is able to save Pocket to itself,Coinhako,Mobile,Page cannot load despite refreshing multiple times,1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,The text cursor and chars are partially out of the text field view,Done,High,36,49,43
Text not displayed properly,Yahoo,Mobile Application,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.After updating the firmware 2.Restart the application 3.Updates not applied as it should be,Features should load properly,Work in progress,Low,33,26,21
Not loading,Lazada,Mobile,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Sign in to pocket 2.Save to pocket 3.Refresh again,Features should load properly,Unassigned,High,2,1,8
Text not displayed properly,Grab,Mobile Application,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.After updating the firmware 2.Restart the application 3.Updates not applied as it should be,The text cursor and chars are partially out of the text field view,Pending for review,High,29,18,43
User is able to save Pocket to itself,Facebook,Desktop,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Click on object 2.Load the pictures 3.Pictures not loading,Reviews box not supposed to be whited out,Work in progress,High,36,26,19
Not loading,Poems,Desktop Application,Save Page to Pocket) where there should be none,1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,The Learn more hyperlink from the Save to Pocket modal is focused,Unassigned,Low,3,9,48
Page glitching out,Google,Website,The text cursor and chars are always visible while typing a tag,1.Login successfully 2.Unable to access,The text cursor and chars are partially out of the text field view,Work in progress,Low,2,11,43
Not loading,Shopback,Desktop Application,Two Pocket-related context menu items appear (Save Link to Pocket,1.Login successfully 2.Unable to access,Should be able to access normally,Pending for review,High,29,9,19
Page glitching out,Gmail,Desktop Webpage,The pocket animation does not play,1.Press enter and save 2.Press down arrow and observe the elements,The text cursor and chars are partially out of the text field view,Unassigned,Low,32,28,43
Pictures not loading,Lazada,Website,The text cursor and chars are always visible while typing a tag,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,The Learn more hyperlink from the Save to Pocket modal is focused,Pending for review,Low,33,50,48
Unable to access,Yahoo,Mobile,Two Pocket-related context menu items appear (Save Link to Pocket,1.Click on object 2.Load the pictures 3.Pictures not loading,The text cursor and chars are partially out of the text field view,Pending for review,High,34,11,45
Features not working,Coinhako,Mobile,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Click on object 2.Load the pictures 3.Pictures not loading,The Learn more hyperlink from the Save to Pocket modal is focused,Unassigned,Low,34,40,45
Page glitching out,Shopee,Mobile Webpage,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,The Learn more hyperlink from the Save to Pocket modal is focused,Unassigned,Low,29,50,5
Features not working,Amazon,Website,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Login successfully 2.Unable to access,Features should load properly,Unassigned,Low,17,9,22
Cursor mismatch,Shopback,Desktop Application,Save Page to Pocket) where there should be none,1.Click on object 2.Load the pictures 3.Pictures not loading,The Learn more hyperlink from the Save to Pocket modal is focused,Work in progress,High,39,50,6
Pictures not loading,Yahoo,Desktop,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,The text cursor and chars are partially out of the text field view,Work in progress,High,36,11,43
Cursor mismatch,Google,Website,Save Page to Pocket) where there should be none,1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,The Learn more hyperlink from the Save to Pocket modal is focused,Pending for review,High,47,23,25
Unable to access,Poems,Desktop Application,Box is not whited out but unable to type anything inside,1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,Reviews box not supposed to be whited out,Done,Low,33,12,46
Page glitching out,Binance,Mobile,The TypeError: contentWindow is null error message is listed,1.After updating the firmware 2.Restart the application 3.Updates not applied as it should be,Reviews box not supposed to be whited out,Unassigned,Low,32,18,8
Text not displayed properly,Lazada,Mobile Application,Save Page to Pocket) where there should be none,1.Login successfully 2.Unable to access,Reviews box not supposed to be whited out,Unassigned,Low,16,28,6
Text not displayed properly,Yahoo,Desktop Webpage,Box is not whited out but unable to type anything inside,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,Reviews box not supposed to be whited out,Done,High,17,37,14
Page glitching out,Shopee,Desktop Webpage,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,The Learn more hyperlink from the Save to Pocket modal is focused,Pending for review,Low,36,12,42
Page glitching out,Gmail,Website,Two Pocket-related context menu items appear (Save Link to Pocket,1.Press enter and save 2.Press down arrow and observe the elements,Features should load properly,Done,Low,10,50,14
User is able to save Pocket to itself,Lazada,Website,Two Pocket-related context menu items appear (Save Link to Pocket,1.Login successfully 2.Unable to access,Features should load properly,Pending for review,Low,16,1,38
Features not working,Google,Mobile,Two Pocket-related context menu items appear (Save Link to Pocket,1.Sign in to pocket 2.Save to pocket 3.Refresh again,Should be able to access normally,Done,High,2,11,42
Page glitching out,Coinhako,Mobile Webpage,Box is not whited out but unable to type anything inside,1.After updating the firmware 2.Restart the application 3.Updates not applied as it should be,Reviews box not supposed to be whited out,Pending for review,High,10,23,45
User is able to save Pocket to itself,Shopee,Mobile Application,Box is not whited out but unable to type anything inside,1.Click on submit trade order 2.Limit set 3.Market order unable to proceed,Reviews box not supposed to be whited out,Work in progress,Low,17,18,43
Pictures not loading,Facebook,Mobile Webpage,Save Page to Pocket) where there should be none,1.Click on object 2.Load the pictures 3.Pictures not loading,Reviews box not supposed to be whited out,Unassigned,Low,32,49,46
Text not displayed properly,Poems,Mobile Webpage,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,Should be able to access normally,Work in progress,High,36,15,8
User is able to save Pocket to itself,Google,Desktop Application,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,Should be able to access normally,Unassigned,High,39,40,38
User is able to save Pocket to itself,Shopee,Mobile,The TypeError: contentWindow is null error message is listed,1.Click on object 2.Load the pictures 3.Pictures not loading,Reviews box not supposed to be whited out,Pending for review,Low,39,49,5
Text not displayed properly,Binance,Desktop Application,Two Pocket-related context menu items appear (Save Link to Pocket,1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,Should be able to access normally,Unassigned,Low,34,37,42
Unable to access,Binance,Desktop,The pocket animation does not play,1.Click on object 2.Load the pictures 3.Pictures not loading,Reviews box not supposed to be whited out,Unassigned,Low,34,9,46
Text not displayed properly,Amazon,Website,The TypeError: contentWindow is null error message is listed,1.Sign in to pocket 2.Save to pocket 3.Refresh again,The text cursor and chars are partially out of the text field view,Done,High,16,23,6
Unable to access,Gmail,Desktop Webpage,Page cannot load despite refreshing multiple times,1.Sign in to pocket 2.Save to pocket 3.Refresh again,Should be able to access normally,Work in progress,High,16,37,27
Cursor mismatch,Shopee,Desktop,It should keep the panel open rather than closing after time out (just like hovering over the panel itself),1.Login details correctly keyed in 2.2FA keyed in correctly 3.Unable to load the account page,Reviews box not supposed to be whited out,Work in progress,High,17,12,5
Text not displayed properly,Amazon,Desktop Application,Two Pocket-related context menu items appear (Save Link to Pocket,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,Should be able to access normally,Done,Low,16,28,19
Features not working,Yahoo,Mobile Webpage,The text cursor and chars are always visible while typing a tag,1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,The text cursor and chars are partially out of the text field view,Pending for review,High,17,23,42
Unable to leave reviews,Gmail,Mobile Application,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,The Learn more hyperlink from the Save to Pocket modal is focused,Work in progress,High,17,49,14
Page glitching out,Netflix,Website,The TypeError: contentWindow is null error message is listed,1.Sign in to pocket 2.Save to pocket 3.Refresh again,Reviews box not supposed to be whited out,Work in progress,Low,32,40,22
Pictures not loading,Netflix,Mobile Webpage,Box is not whited out but unable to type anything inside,1.Click on object 2.Load the pictures 3.Pictures not loading,The text cursor and chars are partially out of the text field view,Unassigned,High,34,28,27
Not loading,Facebook,Desktop Webpage,We should show the same View Pocket List link in the Bookmarks sidebar as we do in the bookmarks door hanger,1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,Should be able to access normally,Work in progress,High,32,12,45
Unable to leave reviews,Interactive Brokers,Desktop Application,The TypeError: contentWindow is null error message is listed,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,Reviews box not supposed to be whited out,Pending for review,Low,34,28,5
